"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",71.704,107.004
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",71.704,113.504
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",71.704,120.954
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",71.704,136.754
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",82.054,97.254
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",82.054,107.004
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",82.054,113.504
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",82.054,120.954
"DATA/10006857.CI.DNR.BHT.sac.d.T006_T030
","SYN/DNR.CI.BHT.semd.sac.m16.T006_T030
",82.054,136.754
"DATA/10006857.CI.FIG.BHT.sac.d.T006_T030
","SYN/FIG.CI.BHT.semd.sac.m16.T006_T030
",-27.096,31.054
"DATA/10006857.CI.FIG.BHT.sac.d.T006_T030
","SYN/FIG.CI.BHT.semd.sac.m16.T006_T030
",-11.096,31.054
"DATA/10006857.CI.FIG.BHT.sac.d.T006_T030
","SYN/FIG.CI.BHT.semd.sac.m16.T006_T030
",-3.496,31.054
"DATA/10006857.CI.FIG.BHT.sac.d.T006_T030
","SYN/FIG.CI.BHT.semd.sac.m16.T006_T030
",3.204,31.054
"DATA/10006857.CI.FMP.BHR.sac.d.T006_T030
","SYN/FMP.CI.BHR.semd.sac.m16.T006_T030
",49.504,64.954
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",63.204,108.004
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",63.204,114.554
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",63.204,132.454
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",72.904,108.004
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",72.904,114.554
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",72.904,132.454
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",82.954,108.004
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",82.954,114.554
"DATA/10006857.AZ.FRD.BHT.sac.d.T006_T030
","SYN/FRD.AZ.BHT.semd.sac.m16.T006_T030
",82.954,132.454
"DATA/10006857.CI.GSC.BHT.sac.d.T006_T030
","SYN/GSC.CI.BHT.semd.sac.m16.T006_T030
",68.654,110.654
"DATA/10006857.CI.GSC.BHT.sac.d.T006_T030
","SYN/GSC.CI.BHT.semd.sac.m16.T006_T030
",77.354,110.654
"DATA/10006857.CI.GSC.BHT.sac.d.T006_T030
","SYN/GSC.CI.BHT.semd.sac.m16.T006_T030
",83.054,110.654
"DATA/10006857.CI.GSC.BHT.sac.d.T006_T030
","SYN/GSC.CI.BHT.semd.sac.m16.T006_T030
",91.004,110.654
"DATA/10006857.CI.HEC.BHR.sac.d.T006_T030
","SYN/HEC.CI.BHR.semd.sac.m16.T006_T030
",111.154,134.454
"DATA/10006857.CI.HLL.BHR.sac.d.T006_T030
","SYN/HLL.CI.BHR.semd.sac.m16.T006_T030
",0.304,56.054
"DATA/10006857.CI.HLL.BHR.sac.d.T006_T030
","SYN/HLL.CI.BHR.semd.sac.m16.T006_T030
",15.504,56.054
"DATA/10006857.CI.IRM.BHT.sac.d.T006_T030
","SYN/IRM.CI.BHT.semd.sac.m16.T006_T030
",126.604,152.104
"DATA/10006857.CI.ISA.BHZ.sac.d.T006_T030
","SYN/ISA.CI.BHZ.semd.sac.m16.T006_T030
",36.254,105.754
"DATA/10006857.CI.ISA.BHZ.sac.d.T006_T030
","SYN/ISA.CI.BHZ.semd.sac.m16.T006_T030
",50.004,105.754
"DATA/10006857.CI.JCS.BHT.sac.d.T006_T030
","SYN/JCS.CI.BHT.semd.sac.m16.T006_T030
",75.354,110.254
"DATA/10006857.CI.JCS.BHT.sac.d.T006_T030
","SYN/JCS.CI.BHT.semd.sac.m16.T006_T030
",75.354,131.904
"DATA/10006857.CI.JCS.BHT.sac.d.T006_T030
","SYN/JCS.CI.BHT.semd.sac.m16.T006_T030
",85.304,110.254
"DATA/10006857.CI.JCS.BHT.sac.d.T006_T030
","SYN/JCS.CI.BHT.semd.sac.m16.T006_T030
",85.304,131.904
"DATA/10006857.CI.JCS.BHT.sac.d.T006_T030
","SYN/JCS.CI.BHT.semd.sac.m16.T006_T030
",99.804,131.904
"DATA/10006857.CI.JVA.BHT.sac.d.T006_T030
","SYN/JVA.CI.BHT.semd.sac.m16.T006_T030
",79.204,93.854
"DATA/10006857.CI.JVA.BHT.sac.d.T006_T030
","SYN/JVA.CI.BHT.semd.sac.m16.T006_T030
",79.204,107.104
"DATA/10006857.CI.JVA.BHT.sac.d.T006_T030
","SYN/JVA.CI.BHT.semd.sac.m16.T006_T030
",84.154,107.104
"DATA/10006857.AZ.KNW.BHT.sac.d.T006_T030
","SYN/KNW.AZ.BHT.semd.sac.m16.T006_T030
",68.854,94.854
"DATA/10006857.AZ.KNW.BHT.sac.d.T006_T030
","SYN/KNW.AZ.BHT.semd.sac.m16.T006_T030
",68.854,104.204
"DATA/10006857.AZ.KNW.BHT.sac.d.T006_T030
","SYN/KNW.AZ.BHT.semd.sac.m16.T006_T030
",68.854,111.004
"DATA/10006857.AZ.KNW.BHT.sac.d.T006_T030
","SYN/KNW.AZ.BHT.semd.sac.m16.T006_T030
",68.854,118.704
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",-26.846,50.204
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",-10.796,50.204
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",-0.596,50.204
"DATA/10006857.CI.LCP.BHT.sac.d.T006_T030
","SYN/LCP.CI.BHT.semd.sac.m16.T006_T030
",6.804,50.204
"DATA/10006857.CI.LDR.BHT.sac.d.T006_T030
","SYN/LDR.CI.BHT.semd.sac.m16.T006_T030
",19.154,70.704
"DATA/10006857.CI.LDR.BHT.sac.d.T006_T030
","SYN/LDR.CI.BHT.semd.sac.m16.T006_T030
",32.554,70.704
"DATA/10006857.CI.LDR.BHT.sac.d.T006_T030
","SYN/LDR.CI.BHT.semd.sac.m16.T006_T030
",38.804,70.704
"DATA/10006857.CI.LDR.BHT.sac.d.T006_T030
","SYN/LDR.CI.BHT.semd.sac.m16.T006_T030
",48.554,70.704
"DATA/10006857.CI.LGB.BHR.sac.d.T006_T030
","SYN/LGB.CI.BHR.semd.sac.m16.T006_T030
",66.104,111.054
"DATA/10006857.CI.LGB.BHZ.sac.d.T006_T030
","SYN/LGB.CI.BHZ.semd.sac.m16.T006_T030
",48.254,80.404
"DATA/10006857.CI.LJR.BHT.sac.d.T006_T030
","SYN/LJR.CI.BHT.semd.sac.m16.T006_T030
",6.804,56.254
"DATA/10006857.CI.LJR.BHT.sac.d.T006_T030
","SYN/LJR.CI.BHT.semd.sac.m16.T006_T030
",21.154,56.254
"DATA/10006857.CI.LJR.BHT.sac.d.T006_T030
","SYN/LJR.CI.BHT.semd.sac.m16.T006_T030
",33.204,56.254
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",57.354,116.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",57.354,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",63.204,116.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",63.204,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",75.204,116.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",75.204,144.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",84.604,116.754
"DATA/10006857.AZ.LVA2.BHT.sac.d.T006_T030
","SYN/LVA2.AZ.BHT.semd.sac.m16.T006_T030
",84.604,144.754
"DATA/10006857.CI.MCT.BHT.sac.d.T006_T030
","SYN/MCT.CI.BHT.semd.sac.m16.T006_T030
",81.254,123.954
"DATA/10006857.CI.MCT.BHT.sac.d.T006_T030
","SYN/MCT.CI.BHT.semd.sac.m16.T006_T030
",95.704,123.954
"DATA/10006857.CI.MCT.BHT.sac.d.T006_T030
","SYN/MCT.CI.BHT.semd.sac.m16.T006_T030
",95.704,142.004
"DATA/10006857.CI.MOP.BHR.sac.d.T006_T030
","SYN/MOP.CI.BHR.semd.sac.m16.T006_T030
",8.604,49.704
"DATA/10006857.CI.MOP.BHR.sac.d.T006_T030
","SYN/MOP.CI.BHR.semd.sac.m16.T006_T030
",19.454,49.704
"DATA/10006857.CI.MOP.BHR.sac.d.T006_T030
","SYN/MOP.CI.BHR.semd.sac.m16.T006_T030
",32.054,49.704
"DATA/10006857.CI.MPP.BHT.sac.d.T006_T030
","SYN/MPP.CI.BHT.semd.sac.m16.T006_T030
",-6.896,51.554
